kafka.py:36 #INFO     [2026-02-04 10:37:38,372] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:37:38,372] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:37:38,402] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:37:38,403] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:37:38,403] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:37:40,583] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 101) with member_id aiokafka-0.13.0-bbc0fc44-283a-497a-9286-5e03e209edd4
group_coordinator.py:1457 #INFO     [2026-02-04 10:37:40,603] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 101
group_coordinator.py:497 #INFO     [2026-02-04 10:37:40,604] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:37:40,605] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:37:40,605] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-04 10:38:23,324] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
